"Time","_S_talo_S_LV02_TE03","_S_talo_S_LV01_TE03","_S_talo_S_LIV01_TE03","_S_talo_U_TE90","_S_talo_S_KLV01_TE01","_S_talo_S_LKV01_TV01","_S_talo_S_LKV01_TE03","_S_talo_S111_TE","_S_talo_S112_TE","_S_talo_S114_TE","_S_talo_S115_TE","_S_talo_S116_TE","_S_talo_S117_TE","_S_talo_S119_TE","_S_talo_S125_TE","_S_talo_S201_TE","_S_talo_S202_TE","_S_talo_S210_TE","_S_talo_S213_TE","_S_talo_S213b_TE","_S_talo_S214_TE","_S_talo_S214b_TE","_S_talo_S215_TE","_S_talo_S301_TE","_S_talo_S307_TE","_S_talo_S310_TE","_S_talo_S311_TE","_S_talo_S311b_TE","_S_talo_S312_TE","_S_talo_S313_TE","_S_talo_S316_TE","_S_talo_U_TE90","_S_talo_S111_QE","_S_talo_S112_QE","_S_talo_S114_QE","_S_talo_S115_QE","_S_talo_S116_QE","_S_talo_S117_QE","_S_talo_S119_QE","_S_talo_S125_QE","_S_talo_S201_QE","_S_talo_S202_QE","_S_talo_S210_QE","_S_talo_S213_QE","_S_talo_S213b_QE","_S_talo_S214_QE","_S_talo_S214b_QE","_S_talo_S215_QE","_S_talo_S301_QE","_S_talo_S307_QE","_S_talo_S310_QE","_S_talo_S311_QE","_S_talo_S311b_QE","_S_talo_S312_QE","_S_talo_S313_QE","_S_talo_S316_QE"
2022-02-09 13:00:00,27.5,37.3,37.3,1.74,85.4,28.9,57.8,22,21,22.1,21.9,22.6,23.1,22.2,20.8,21.8,21.6,21.6,20.5,21.9,21.1,22.0,21.2,20.7,21.5,21.6,21.9,22.7,21.3,21.4,21.9,1.74,0.524,436,0.476,0.614,0.331,0.476,0.597,463,688,492,451,454,0.431,840,0.211,454,434,474,490,471,489,438,711,610
2022-02-09 14:00:00,28.4,38.0,37.9,1.26,84.7,30.2,57.8,22,21,22.1,21.9,22.4,22.9,22.2,20.6,21.8,21.6,21.4,20.2,21.6,21.0,22.0,21.1,20.7,21.5,21.6,21.9,22.4,21.3,21.5,22.0,1.26,0.507,427,0.475,0.549,0.429,0.500,0.571,432,513,429,432,435,0.381,840,0.308,430,428,502,447,437,433,426,489,616
2022-02-09 15:00:00,27.8,37.2,38.5,1.19,82.6,28.0,58.0,21.9,21.1,21.9,21.8,22.2,22.7,22.1,20.6,21.2,21.4,21.5,20.6,21.5,21,22.0,20.9,20.5,21.5,21.5,22.0,22.1,21.3,21.4,21.9,1.19,0.471,419,0.500,0.707,0.404,0.428,0.525,421,432,420,422,426,0.319,839,0.126,423,424,455,424,426,423,418,425,480
2022-02-09 16:00:00,28.4,37.8,38.7,0.942,82.1,27.7,58.1,21.9,21.2,21.8,21.7,22.0,22.6,22.0,20.8,21.0,21.3,21.6,20.9,21.4,20.9,22.1,20.9,20.4,21.5,21.4,21.8,21.9,21.2,21.3,21.8,0.942,0.500,417,0.451,0.639,0.297,0.500,0.619,416,421,417,416,425,0.324,837,0.215,418,421,425,418,421,418,415,422,418
2022-02-09 17:00:00,28.0,38.8,38.3,0.855,82.2,28.9,58.0,21.9,21.2,21.8,21.7,22.0,22.5,22,20.8,20.9,21.3,21.6,20.9,21.4,21.0,22.0,20.9,20.5,21.5,21.6,21.9,22.1,21.2,21.2,21.7,0.855,0.476,417,0.419,0.561,0.369,0.500,0.547,413,418,415,415,426,0.405,840,0.201,417,418,414,417,431,421,412,420,416
2022-02-09 18:00:00,28.0,37.4,38.3,0.986,82.0,28.5,58.0,21.9,21.2,21.7,21.6,21.9,22.4,22,20.9,20.9,21.3,21.6,20.9,21.4,21,22.1,20.8,20.5,21.5,21.5,22.0,21.9,21.1,21.2,21.7,0.986,0.524,416,0.438,0.525,0.426,0.450,0.547,412,418,415,418,427,0.401,840,0.206,416,417,413,419,435,418,411,420,416
2022-02-09 19:00:00,28.4,38.5,38.5,1.20,81.7,28.8,58.0,21.9,21.2,21.6,21.6,22.3,22.3,22,20.9,21.0,21.3,21.5,21,21.4,21,22.1,20.8,20.5,21.5,21.4,21.9,22.0,21.1,21.2,21.7,1.20,0.500,415,0.476,0.596,0.429,0.500,0.524,412,418,414,418,424,0.406,840,0.171,416,418,412,417,422,416,411,419,416
2022-02-09 20:00:00,27.9,36.9,38.2,1.42,81.4,28.1,58.0,21.9,21.1,21.6,21.6,22.2,22.3,22.0,20.9,21,21.3,21.5,21.0,21.4,21,22.0,20.8,20.5,21.5,21.5,21.8,22.0,21.1,21.1,21.6,1.42,0.500,414,0.453,0.524,0.378,0.458,0.572,411,417,414,414,422,0.428,840,0.211,415,417,411,414,420,416,410,418,415
2022-02-09 21:00:00,27.9,38.5,38.4,0.999,81.2,28.1,58.0,21.8,21.1,21.6,21.5,22.0,22.2,21.9,20.8,21,21.2,21.5,21.0,21.4,21,22.0,20.8,20.5,21.5,21.6,21.7,22.0,21.2,21.1,21.6,0.999,0.500,414,0.476,0.561,0.403,0.494,0.547,411,418,414,413,423,0.475,840,0.122,415,417,411,414,417,416,410,418,415
2022-02-09 22:00:00,28.4,37.9,38.8,0.575,81.2,27.9,58.0,21.8,21.1,21.5,21.5,21.9,22.2,21.9,20.8,21,21.2,21.5,21.0,21.3,21,22.0,20.7,20.5,21.5,21.4,21.7,22.0,21.2,21.1,21.5,0.575,0.524,414,0.493,0.535,0.406,0.451,0.524,411,418,414,413,425,0.401,840,0.193,415,417,412,414,417,416,410,419,414
2022-02-09 23:00:00,28.2,38.6,38.3,0.854,80.9,27.8,58.0,21.8,21.1,21.5,21.5,22.2,22.1,21.9,20.8,21,21.2,21.5,21.0,21.3,21,22,20.7,20.5,21.5,21.6,21.7,22.0,21.1,21.1,21.5,0.854,0.500,415,0.460,0.619,0.403,0.500,0.572,411,418,414,415,426,0.403,840,0.221,416,416,412,414,418,417,411,419,415
2022-02-10 00:00:00,28.1,38.1,38.7,0.633,80.6,28.1,58.0,21.8,21.1,21.5,21.5,22.1,22.1,21.9,20.8,21,21.2,21.5,21.1,21.3,21,22.0,20.8,20.5,21.5,21.5,21.7,22.1,21.1,21.1,21.5,0.633,0.500,415,0.478,0.525,0.379,0.476,0.547,411,418,414,415,423,0.381,840,0.163,415,416,411,414,418,417,411,420,414
2022-02-10 01:00:00,28.7,38.4,38.7,0.418,80.7,29.0,57.9,21.8,21.1,21.5,21.5,21.9,22.1,21.9,20.8,21.0,21.2,21.5,21.1,21.3,21,22,20.8,20.5,21.4,21.4,21.6,22.0,21.1,21.1,21.5,0.418,0.500,415,0.429,0.528,0.333,0.524,0.524,411,418,414,421,426,0.403,840,0.0944,415,417,412,414,417,417,412,420,414
2022-02-10 02:00:00,28.1,39.5,39.6,-0.35,81.4,30.0,57.9,21.8,21.1,21.5,21.5,22.1,22.0,21.9,20.8,21.0,21.2,21.5,21.1,21.3,21,22.0,20.8,20.5,21.5,21.6,21.7,22.0,21.1,21.1,21.5,-0.35,0.500,415,0.500,0.594,0.454,0.500,0.549,411,418,415,419,422,0.336,840,0.236,416,416,412,414,418,418,412,420,414
2022-02-10 03:00:00,28.8,39.8,40.2,-1.1,81.4,28.9,58.1,21.8,21.1,21.6,21.6,22.2,22,21.9,20.8,21,21.2,21.4,21.1,21.3,21,22.1,20.8,20.5,21.5,21.4,21.6,22.0,21.1,21.0,21.5,-1.1,0.500,415,0.500,0.500,0.404,0.476,0.476,411,418,415,421,422,0.451,838,0.191,416,417,412,414,418,417,412,420,415
2022-02-10 04:00:00,28.9,40.3,41.3,-1.6,82.2,27.4,58.0,21.8,21.0,21.5,21.6,22.0,21.9,21.8,20.6,21.1,21.2,21.3,20.6,21.3,21,22.0,20.8,20.6,21.4,21.5,21.5,21.9,21.1,21,21.5,-1.6,0.500,419,0.475,0.692,0.357,0.453,0.524,421,425,419,419,426,0.428,836,0.122,423,418,415,417,420,418,414,422,415
2022-02-10 05:00:00,29.4,41.2,41.0,-2.1,84.0,28.2,58.0,21.8,21,21.5,21.5,22.0,22.0,21.8,20.5,21.0,21.2,21.1,20.3,21.3,21,22,20.8,20.7,21.5,21.5,21.5,22.0,21.1,20.8,21.5,-2.1,0.500,420,0.453,0.571,0.453,0.500,0.547,421,423,417,413,426,0.433,836,0.167,419,423,415,423,422,421,415,425,416
2022-02-10 06:00:00,29.1,40.2,41.3,-2.2,85.6,29.2,57.8,21.8,21,21.4,21.5,22.2,22.1,21.8,20.4,20.9,21.1,21,20.2,21.3,21,22,20.8,20.6,21.6,21.7,21.6,22.0,21.1,20.6,21.5,-2.2,0.500,421,0.476,0.588,0.428,0.500,0.621,421,422,418,416,426,0.401,836,0.233,422,419,455,444,427,431,415,423,417
2022-02-10 07:00:00,28.9,40.9,40.7,-1.1,86.5,27.1,58.0,21.9,21.0,21.6,21.5,22.3,22.4,22.0,20.5,21.1,21.6,21.1,20.1,21.3,21,22.0,21.3,20.5,21.7,21.7,21.7,22.4,21.1,20.6,21.5,-1.1,0.500,426,0.476,0.507,0.381,0.500,0.547,424,429,709,417,429,0.451,845,0.151,655,425,493,431,429,429,419,427,420
2022-02-10 08:00:00,28.2,38.1,38.7,0.325,85.8,28.3,58.1,21.9,21.0,21.7,21.5,22.4,22.8,22.2,20.7,21.3,22.1,21.2,20.1,21.3,21.1,22.1,21.6,20.5,21.6,21.5,21.8,22.5,21.2,20.6,21.5,0.325,0.500,427,0.475,0.572,0.379,0.476,0.547,426,501,718,420,442,0.451,850,0.142,664,427,478,430,430,462,422,429,420
2022-02-10 09:00:00,28.2,38.4,38.9,1.29,85.2,28.5,58.0,21.9,21.0,21.7,21.6,22.3,22.8,22.2,20.6,21.6,22.0,21.2,20.7,21.3,21.2,22,21.9,20.6,21.5,21.5,21.8,22.4,21.4,20.7,21.7,1.29,0.500,432,0.428,0.524,0.429,0.469,0.500,428,513,718,423,467,0.453,852,0.118,751,428,465,436,435,447,651,434,520
2022-02-10 10:00:00,27.5,36.2,37.3,1.94,85.0,28.8,58.1,21.9,21.0,21.7,21.6,22.4,22.9,22.2,20.6,21.3,21.9,21.2,20.5,21.3,21.1,21.9,21.5,20.7,21.6,21.4,21.8,22.4,21.8,20.7,21.7,1.94,0.453,434,0.476,0.554,0.428,0.483,0.500,432,452,547,428,453,0.428,844,0.0958,519,463,506,446,441,467,795,441,446
2022-02-10 11:00:00,27.8,37.8,37.4,1.74,84.3,28.3,57.9,22.0,21.0,21.7,21.7,22.4,23.0,22.2,20.7,21.2,22.0,21.3,21.0,21.3,21.1,22.0,21.8,21.2,21.6,21.5,21.8,22.4,21.7,20.8,21.8,1.74,0.524,437,0.500,0.613,0.471,0.475,0.500,433,448,764,436,525,0.453,841,0.214,666,771,554,455,448,464,511,450,532
2022-02-10 12:00:00,28.2,37.5,38.2,1.59,83.3,30.3,57.6,22.0,21.3,21.7,21.7,22.4,23.0,22.2,20.7,21.3,22.0,21.3,20.7,21.4,21.1,22.0,21.9,21.2,21.6,21.5,21.8,22.2,21.5,20.7,22.0,1.59,0.524,692,0.453,0.550,0.432,0.476,0.547,435,524,692,444,466,0.401,852,0.168,778,780,541,448,444,514,438,452,540
