Year,m,d,Time,Time zone,Relative humidity (%)
2021,11,28,00:00,UTC,88
2021,11,28,01:00,UTC,88
2021,11,28,02:00,UTC,89
2021,11,28,03:00,UTC,89
2021,11,28,04:00,UTC,89
2021,11,28,05:00,UTC,89
2021,11,28,06:00,UTC,90
2021,11,28,07:00,UTC,90
2021,11,28,08:00,UTC,89
2021,11,28,09:00,UTC,84
2021,11,28,10:00,UTC,85
2021,11,28,11:00,UTC,86
2021,11,28,12:00,UTC,86
2021,11,28,13:00,UTC,87
2021,11,28,14:00,UTC,87
2021,11,28,15:00,UTC,85
2021,11,28,16:00,UTC,84
2021,11,28,17:00,UTC,85
2021,11,28,18:00,UTC,86
2021,11,28,19:00,UTC,86
2021,11,28,20:00,UTC,87
2021,11,28,21:00,UTC,90
2021,11,28,22:00,UTC,90
2021,11,28,23:00,UTC,90
2021,11,29,00:00,UTC,89
2021,11,29,01:00,UTC,89
2021,11,29,02:00,UTC,89
2021,11,29,03:00,UTC,89
2021,11,29,04:00,UTC,89
2021,11,29,05:00,UTC,90
2021,11,29,06:00,UTC,89
2021,11,29,07:00,UTC,88
2021,11,29,08:00,UTC,88
2021,11,29,09:00,UTC,88
2021,11,29,10:00,UTC,88
2021,11,29,11:00,UTC,89
2021,11,29,12:00,UTC,88
2021,11,29,13:00,UTC,87
2021,11,29,14:00,UTC,87
2021,11,29,15:00,UTC,88
2021,11,29,16:00,UTC,89
2021,11,29,17:00,UTC,89
2021,11,29,18:00,UTC,88
2021,11,29,19:00,UTC,89
2021,11,29,20:00,UTC,90
2021,11,29,21:00,UTC,90
2021,11,29,22:00,UTC,89
2021,11,29,23:00,UTC,88
2021,11,30,00:00,UTC,86
2021,11,30,01:00,UTC,87
2021,11,30,02:00,UTC,86
2021,11,30,03:00,UTC,86
2021,11,30,04:00,UTC,86
2021,11,30,05:00,UTC,86
2021,11,30,06:00,UTC,86
2021,11,30,07:00,UTC,86
2021,11,30,08:00,UTC,86
2021,11,30,09:00,UTC,86
2021,11,30,10:00,UTC,84
2021,11,30,11:00,UTC,84
2021,11,30,12:00,UTC,83
2021,11,30,13:00,UTC,84
2021,11,30,14:00,UTC,85
2021,11,30,15:00,UTC,84
2021,11,30,16:00,UTC,84
