Year,m,d,Time,Time zone,Direct solar radiation (W/m2)
2020,10,1,00:00,UTC,1.1
2020,10,1,01:00,UTC,1
2020,10,1,02:00,UTC,0.6
2020,10,1,03:00,UTC,0.5
2020,10,1,04:00,UTC,-0.5
2020,10,1,05:00,UTC,0.7
2020,10,1,06:00,UTC,0.9
2020,10,1,07:00,UTC,1.4
2020,10,1,08:00,UTC,3.3
2020,10,1,09:00,UTC,35.6
2020,10,1,10:00,UTC,666.5
2020,10,1,11:00,UTC,690.4
2020,10,1,12:00,UTC,512.9
2020,10,1,13:00,UTC,499.7
2020,10,1,14:00,UTC,192.1
2020,10,1,15:00,UTC,9.9
2020,10,1,16:00,UTC,-1.6
2020,10,1,17:00,UTC,-1.3
2020,10,1,18:00,UTC,-1.2
2020,10,1,19:00,UTC,-0.9
2020,10,1,20:00,UTC,-0.4
2020,10,1,21:00,UTC,-1.1
2020,10,1,22:00,UTC,-0.1
2020,10,1,23:00,UTC,-1.7
2020,10,2,00:00,UTC,-0.4
2020,10,2,01:00,UTC,-1.7
2020,10,2,02:00,UTC,-0.8
2020,10,2,03:00,UTC,-0.1
2020,10,2,04:00,UTC,-0.1
2020,10,2,05:00,UTC,1.1
2020,10,2,06:00,UTC,8.2
2020,10,2,07:00,UTC,51.1
2020,10,2,08:00,UTC,224.6
2020,10,2,09:00,UTC,390.8
2020,10,2,10:00,UTC,371.2
2020,10,2,11:00,UTC,248.4
2020,10,2,12:00,UTC,285.9
2020,10,2,13:00,UTC,179.7
2020,10,2,14:00,UTC,162.3
2020,10,2,15:00,UTC,171.3
2020,10,2,16:00,UTC,-2.5
2020,10,2,17:00,UTC,-1.4
2020,10,2,18:00,UTC,0.2
2020,10,2,19:00,UTC,-1.3
2020,10,2,20:00,UTC,-0.9
2020,10,2,21:00,UTC,-1.2
2020,10,2,22:00,UTC,-1.3
2020,10,2,23:00,UTC,-0.4
2020,10,3,00:00,UTC,-0.4
2020,10,3,01:00,UTC,-1.8
2020,10,3,02:00,UTC,-0.2
2020,10,3,03:00,UTC,-1
2020,10,3,04:00,UTC,-0.4
2020,10,3,05:00,UTC,1
2020,10,3,06:00,UTC,2
2020,10,3,07:00,UTC,1.8
2020,10,3,08:00,UTC,540.7
2020,10,3,09:00,UTC,633.7
2020,10,3,10:00,UTC,20.5
2020,10,3,11:00,UTC,595.2
2020,10,3,12:00,UTC,-1.1
2020,10,3,13:00,UTC,487.4
2020,10,3,14:00,UTC,362
2020,10,3,15:00,UTC,144.8
2020,10,3,16:00,UTC,-1.6
2020,10,3,17:00,UTC,-1.5
2020,10,3,18:00,UTC,-0.9
2020,10,3,19:00,UTC,-0.1
2020,10,3,20:00,UTC,-0.1
2020,10,3,21:00,UTC,-1.2
2020,10,3,22:00,UTC,-0.1
2020,10,3,23:00,UTC,-0.7
2020,10,4,00:00,UTC,-0.6
2020,10,4,01:00,UTC,0.4
2020,10,4,02:00,UTC,0.2
2020,10,4,03:00,UTC,0.2
2020,10,4,04:00,UTC,-0.1
2020,10,4,05:00,UTC,-0.1
2020,10,4,06:00,UTC,-0.1
2020,10,4,07:00,UTC,75.3
2020,10,4,08:00,UTC,0
2020,10,4,09:00,UTC,1
2020,10,4,10:00,UTC,1.1
2020,10,4,11:00,UTC,150.3
2020,10,4,12:00,UTC,-0.1
2020,10,4,13:00,UTC,-0.6
2020,10,4,14:00,UTC,-0.8
2020,10,4,15:00,UTC,-0.8
2020,10,4,16:00,UTC,-0.1
2020,10,4,17:00,UTC,-0.1
2020,10,4,18:00,UTC,0.3
2020,10,4,19:00,UTC,-0.2
2020,10,4,20:00,UTC,-0.1
2020,10,4,21:00,UTC,-0.3
2020,10,4,22:00,UTC,0.3
2020,10,4,23:00,UTC,0
2020,10,5,00:00,UTC,0.2
2020,10,5,01:00,UTC,0.7
2020,10,5,02:00,UTC,0.5
2020,10,5,03:00,UTC,0.6
2020,10,5,04:00,UTC,0.9
2020,10,5,05:00,UTC,-0.5
2020,10,5,06:00,UTC,1.6
2020,10,5,07:00,UTC,2.7
2020,10,5,08:00,UTC,126.1
