timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Floor_network_1_temperature,Floor_network_1_primary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-02 10:00:00+00:00,78.85107438,57.69530977,30.85146378,16.97838466,26.94668261,17.77296491,25.09166707,0,0,30.22044174,9,,,,12.1,57,200.8,30.22044174
2021-09-02 11:00:00+00:00,79.26235107,58.72185665,30.57290191,16.25339572,26.66383117,24.10673211,24.990942,0,0,30.52300822,8,,,,13.2,54,330.4,30.52300822
2021-09-02 12:00:00+00:00,78.66306418,58.07003919,31.07595158,14.36515282,27.12354442,19.62775463,24.98259928,0,0,30.98906665,12,,,,12.5,55,245.5,30.98906665
2021-09-02 13:00:00+00:00,78.1065451,57.83258856,31.60181595,19.02377805,28.02538355,26.50933673,24.89999993,0,0,31.58508329,6,,,,11.9,61,101.3,31.58508329
2021-09-02 14:00:00+00:00,78.73187423,57.97031932,32.43736212,17.75236178,29.22284897,21.55351127,24.88406171,0,0,32.52495243,8,,,,11.1,69,143.1,32.52495243
2021-09-02 15:00:00+00:00,77.72934354,58.06521562,33.407601,16.71167634,30.47678707,11.44581885,25.01520976,0,0,33.59144513,6,,,,9.8,87,98.4,33.59144513
2021-09-02 16:00:00+00:00,77.11666976,58.02135848,33.92970936,13.52797182,30.97320021,15.68575724,24.99167253,0,0,33.88310982,7,,,,9.5,93,14.6,33.88310982
2021-09-02 17:00:00+00:00,76.66449403,57.74385551,33.69237004,20.94529633,30.65398465,16.43733453,24.97644402,0,0,33.61638565,7,,,,9.9,96,3,33.61638565
2021-09-02 18:00:00+00:00,76.27138247,57.86666987,33.15401588,13.90927287,30.23116785,15.34311276,25.02500251,0,0,33.38261172,5,,,,11,94,-1.1,33.38261172
2021-09-02 19:00:00+00:00,76.19927778,57.84166727,33.36955181,18.34622032,30.10618312,15.53812531,25.0833342,0,0,33.34405578,4,,,,11.3,93,-1.2,33.34405578
2021-09-02 20:00:00+00:00,76.52716189,57.90144262,33.46850781,16.53604401,30.23187492,13.57361529,25.01666291,0,0,33.40738923,4,,,,11.5,90,-1.9,33.40738923
2021-09-02 21:00:00+00:00,76.83288931,57.94382688,33.44907379,15.13981599,30.12626135,17.70187346,25.05906187,0,0,33.44833366,3,,,,11.2,92,-1.4,33.44833366
2021-09-02 22:00:00+00:00,77.05740845,57.9299444,33.69099099,15.16215019,30.43007837,14.63565655,25.07605516,0,0,33.4866666,4,,,,10.9,90,-2,33.4866666
2021-09-02 23:00:00+00:00,77.10353906,57.79168904,33.68418348,20.65526744,30.82324964,15.74122625,25.01879929,0,0,33.91683165,4,,,,10.5,84,-2.1,33.91683165
2021-09-03 00:00:00+00:00,77.54762538,57.9835239,35.52590307,17.78895654,32.51786171,15.64623222,25.07121108,0,0,35.20634187,4,,,,9.1,82,-1.5,35.20634187
2021-09-03 01:00:00+00:00,77.51980859,57.93796881,35.95916793,19.81849295,33.39417697,14.8383806,24.89999962,0,0,36.13003335,4,,,,8,88,-1.7,36.13003335
2021-09-03 02:00:00+00:00,79.22818505,57.97703343,37.41496577,19.62959941,34.1108652,35.59712591,24.99302208,0,0,37.37400455,5,,,,7.5,88,-1.7,37.37400455
2021-09-03 03:00:00+00:00,79.59267532,57.98846285,37.32159358,24.6976951,34.07682936,39.49023598,24.98133105,0,0,37.16200233,4,,,,7.3,85,-1.8,37.16200233
2021-09-03 04:00:00+00:00,79.88100037,57.33720348,37.26077029,17.53533755,34.15192238,44.54998044,24.98667617,0,0,37.21867378,5,,,,6.8,85,24.5,37.21867378
2021-09-03 05:00:00+00:00,79.93362208,57.71346445,36.93467045,20.92083927,34.08495915,38.24178987,25.13563933,0,0,36.81168901,11,,,,7,85,60.2,36.81168901
2021-09-03 06:00:00+00:00,79.73234536,57.14263574,36.22642221,14.92591504,33.54166531,35.58242816,24.92534355,0,0,36.22306951,13,,,,6.5,87,433.8,36.22306951
2021-09-03 07:00:00+00:00,79.68069934,57.99857608,34.03972266,18.88520252,30.88213565,31.55887042,24.89934176,0,0,34.15271687,14,,,,7.6,82,233.4,34.15271687
2021-09-03 08:00:00+00:00,78.31646961,57.9748425,33.22176619,15.60118444,30.43108854,26.19788756,25.10766671,0,0,33.40241282,16,,,,9.1,75,209.7,33.40241282
2021-09-03 09:00:00+00:00,78.41468333,59.80382242,32.85499719,17.95008487,29.70048971,22.70690905,24.94999928,0,0,32.87702579,12,,,,10,66,288.3,32.87702579
2021-09-03 10:00:00+00:00,77.67165391,58.02831558,32.618729,16.73817705,29.14926855,22.31543881,25.0170225,0,0,32.63142164,9,,,,10.5,62,212.7,32.63142164
